Review #,Brand,Variety,Style,Country,Stars,T,code
823,Paldo,Kokomen Spicy Chicken,Pack,South Korea,5,,KOR
1385,Takamori Kosan,Yaki-Udon Roast Soy Sauce,Pack,Japan,3.75,,JPN
1428,Myojo,Chukazanmai Beijing Style Salt Ramen,Pack,Japan,3,,JPN
2272,Nissin,Demae Iccho Spicy Kimchi Pot Flavour Instant Noodle (Bowl Noodle),Bowl,Hong Kong,3.5,,HKG
3849,Muso,Organic Ramen Shoyu,Pack,United States,4,,USA
2944,Myojo,Japanese Style Noodles Pork Flavor (Gyokai Tonkotsu),Pack,Japan,5,,JPN
1886,Myojo,Chicken Abalone Flavour,Bowl,Singapore,3.75,,SGP
2100,Myojo,Mee Goreng Original Flavour,Pack,Singapore,4,,SGP
489,JML,Stew Pork,Pack,China,3.25,,CHN
1887,Myojo,Mee Poh Dry,Pack,Singapore,4.25,,SGP
1761,Authentically Asian,Natural Quality Foods Pad Thai Noodle Bowl,Bowl,United States,1,,USA
1088,Amianda,Tachia Dried Noodles - Peppery,Pack,Taiwan,3.75,,CHN
2181,MAMA,Instant Rice Noodles Chicken Flavour,Pack,Thailand,3.5,,THA
2558,KOKA,Creamy Soup With Crushed Noodles Hot & Sour Fish Flavor,Cup,Singapore,5,,SGP
910,Paldo,Namja Ramyun,Bowl,South Korea,4.25,,KOR
3504,Sapporo Ichiban,Sundobu Karakuchi Ramen,Cup,Japan,2.5,,JPN
3730,Sapporo Ichiban,Hakata Mentaiko Tonkotsu Ramen,Bowl,Japan,4,,JPN
2934,Samyang Foods,Big Bowl Seafood Flavor,Bowl,South Korea,3.75,,KOR
505,JML,Artificial Spicy Beef,Pack,China,3.5,,CHN
3527,Mr. Meng,Tomato Egg Instant Noodles,Cup,China,5,,CHN
1048,Ottogi,Cheese Bokki,Cup,South Korea,3.5,,KOR
1165,Nissin,Chow Mein With Shrimp Chow Mein Noodles,Tray,United States,3.75,,USA
1596,Uncle Sun,White Curry Noodle More Spicy,Pack,Malaysia,3,,MYS
3268,FitMee,Konjac Fried Korean Noodle,Pack,Indonesia,3.5,,IDN
3127,Yamamoto,Tanukioyazi Spicy Tonoktsu Ramen,Bowl,Japan,3.75,,JPN
1517,Katoz,Instant Noodles Spicy Chili,Pack,Sweden,3.5,,SWE
335,Goku Uma,Hot & Spicy Beef,Bowl,Japan,3.5,,JPN
2477,Kiki Noodle,Sichuan Spices Flavor Noodle,Pack,Taiwan,5,,CHN
1903,Higashimaru,Tonkotsu Ramen,Pack,Japan,4.5,,JPN
439,Little Cook,Tom Yum Seafood Creamy,Bowl,Thailand,3,,THA
2580,New Touch,T's Restaurant Tantanmen ,Cup,Japan,3.75,,JPN
1262,ABC,Mi Cup Rasa Kari Ayam Chicken Curry Flavour,Cup,Indonesia,3.75,,IDN
2723,No Brand,Delicious Ramen,Pack,South Korea,3.5,,KOR
2746,Ve Wong,Fried Noodles With Mexican Chili Flavor,Pack,Taiwan,4.25,,CHN
1017,Samyang Foods,Sutah (SK Version),Pack,South Korea,3.75,,KOR
1986,A-Sha Dry Noodle,Quinoa Noodle With Oyster Sauce And Vegetables,Pack,Taiwan,4.25,,CHN
1349,Mamee,Mie Goreng Indonesia Original Flavour,Cup,Malaysia,4.5,,MYS
34,Maruchan,Ramen Noodle Soup Shrimp,Pack,United States,2,,USA
1792,A1,Soup Spices Noodle Mee Rempahan Sup,Pack,Malaysia,3.5,,MYS
3181,Nissin,Yakisoba Instant Pancit Savory Beef,Cup,Philippines,3.75,,PHL
3036,TTL,Pickled Vegetable Beef With Hua Diao Liquor,Pack,Taiwan,5,,CHN
1081,Deshome,Aloe Noodle Sesame Sauce,Pack,Taiwan,3.25,,CHN
575,Batchelors,Super Noodles Barbecue Beef,Pack,UK,3.5,,GBR
3935,Yi Lai Shuen,Kinmen Thin Noodles - Sesame Oil Flavor,Pack,Taiwan,4.75,,CHN
1499,United,Instant Noodles Xi Gon Artificial Stewed Beef Flavor,Pack,Vietnam,3.25,,VNM
3875,Nongshim,ChapaGuri Jjajang Noodle With Spicy Seafood Flavor,Bowl,United States,4.25,,USA
77,Nissin,Demae Ramen Prawn,Pack,Japan,3.25,,JPN
1315,Sainsbury's,Chicken Flavour Instant Noodles,Pack,UK,2.75,,GBR
2765,Island Foods,Kichijoji Hopuken Hompo Backfat Tonkotsu,Box,Japan,5,,JPN
498,Hsin Tung Yang,Tiny Noodle With Oyster Flavor,Pack,Taiwan,0,,CHN
1897,Nissin,Cup Noodle Massaman Curry,Cup,Japan,3.5,,JPN
2194,Fuku,Chicken Flavour Instant Noodle,Pack,Hong Kong,3.5,,HKG
2421,Uni-President,Baseball Snack Noodle,Pack,Taiwan,5,,CHN
1373,Tesco,Everyday Value Beef & Tomato Flavour Noodles,Cup,UK,2,,GBR
1979,Nissin,BIG Cup Noodle Ajillo,Cup,Japan,3,,JPN
1696,Mama,Cup Yentafo Tom Yum Mohfai,Cup,Thailand,5,,THA
3015,Vite Ramen,Vegan Mushroom Shio,Pack,United States,5,,USA
1074,Deshome,Pollen Noodles Sesame Sauce & Soy Sauce,Pack,Taiwan,4.25,,CHN
2361,Nissin,Demae Iccho Chicken Flavour Instant Noodle (Bowl Noodle),Bowl,Hong Kong,5,,HKG
2381,Nissin,Demae Iccho Seafood Flavour Instant Noodle,Cup,Hong Kong,4.75,,HKG
291,Nongshim,Shin Bowl,Bowl,South Korea,3,,KOR
1914,Prima,Juzz's Mee Curry Flavour,Pack,Singapore,5,,SGP
2314,Nissin,Cup Noodles Spicy Beef Flavour,Cup,Hong Kong,4,,HKG
2453,KOKA,Delight Spicy Sesame Flavor Instant Non-Fried Noodles,Pack,Singapore,4.5,,SGP
2369,Samyang Foods,Curry Buldak Bokkeummyun,Pack,South Korea,4.25,,KOR
578,Nongshim,Shin Ramyun Black,Pack,South Korea,4.75,,KOR
3215,Mykuali,Vegetarian Penang white Curry Noodles,Pack,Malaysia,1.5,,MYS
2058,Zow Zow,Instant Noodle Shrimp Tom Yam Flavoured,Pack,Thailand,3.75,,THA
2762,Red Chef,Pandan White Curry Noodles,Pack,Malaysia,5,,MYS
530,Mee Jang,Artificial Shrimp Tom yum,Bowl,Thailand,3.5,,THA
3098,Lau Liu Tou,Hand Made Noodles Spicy Beef,Bowl,China,3.75,,CHN
13,Sapporo Ichiban,Chow Mein,Pack,Japan,5,,JPN
3136,Suimin,Origins Premium Noodle Bowl Seafood Laksa Flavour,Bowl,Australia,5,,AUS
10,Smack,Vegetable Beef,Pack,United States,1.5,,USA
1694,Mama,Instant Rice Vermicelli Bihun Goreng Original Flavour,Pack,Thailand,4.75,,THA
3252,Shin Horng,Lukang Thin Noodles Ginger & Sesame Oil Flavor,Pack,Taiwan,5,,CHN
3715,Mamee,SLRP! Mi Segera Perisa Kari Xtra Pedas,Pack,Malaysia,4,,MYS
3283,O'taste,Spicy Tteokbokki,Bowl,South Korea,5,,KOR
1987,Nissin,Yokohama Walker Iekei Ramen,Bowl,Japan,4.5,,JPN
3635,Acecook,Fujicco Pure Tororo Konbu Soba,Cup,Japan,0,,JPN
749,Sapporo Ichiban,Chow Mein (New),Pack,United States,5,,USA
333,Nissin,Big Cup Noodles Shrimp,Cup,United States,2.25,,USA
1947,Prima Taste,Singapore Laksa Wholegrain La Mian,Pack,Singapore,5,,SGP
3048,Uni-President,Braised Beef Stir Noodle Bowl,Bowl,China,3.5,,CHN
1369,A-Sha Dry Noodle,Hello Kitty Za Jiang (Soybean Sauce),Pack,Taiwan,3.25,,CHN
2481,Samyang Foods,Buldak Bokkeummyun,Cup,South Korea,3.75,,KOR
914,Nissin,Ramen Shop Sapporo Miso,Pack,Japan,4,,JPN
3382,Itsuki,Akikara Ramen,Pack,Japan,5,,JPN
1009,Western Family,Instant Noodles In A Cup Oriental,Cup,Canada,2,,CAN
1067,Nissin,Cup Noodle Red Shock,Cup,Japan,3.75,,JPN
2297,Chuan Wei Wang,Bowl Instant Noodles Artificial Beef With Sauerkraut Flavor,Bowl,China,3.25,,CHN
830,Seven-Eleven,Seven & I Shoyu,Cup,Japan,4.5,,JPN
