iter	Passed	Remaining
0	2	1234
1	3	1163
2	5	1115
3	7	1056
4	8	962
5	9	977
6	12	1064
7	14	1073
8	15	1046
9	16	1000
10	17	961
11	19	931
12	20	912
13	21	888
14	22	866
15	23	846
16	24	834
17	25	838
18	27	840
19	28	840
20	30	841
21	32	840
22	33	840
23	35	843
24	38	874
25	42	937
26	44	945
27	46	949
28	48	954
29	57	1100
30	60	1114
31	63	1122
32	66	1137
33	67	1128
34	68	1111
35	75	1178
36	77	1172
37	81	1209
38	83	1199
39	87	1222
40	107	1465
41	110	1472
42	112	1454
43	116	1477
44	118	1459
45	120	1447
46	121	1434
47	123	1421
48	125	1407
49	126	1392
50	128	1378
51	137	1448
52	140	1453
53	142	1439
54	143	1425
55	145	1412
56	147	1401
57	151	1417
58	152	1400
59	158	1422
60	160	1420
61	164	1423
62	165	1411
63	182	1526
64	190	1567
65	192	1559
66	198	1579
67	200	1565
68	201	1551
69	203	1537
70	204	1520
71	204	1503
72	205	1486
73	207	1474
74	208	1461
75	211	1458
76	213	1447
77	214	1437
78	216	1426
79	219	1427
80	221	1416
81	222	1403
82	223	1390
83	225	1384
84	226	1374
85	228	1364
86	229	1354
87	231	1344
88	232	1335
89	234	1328
90	235	1319
91	237	1310
92	238	1302
93	240	1293
94	241	1285
95	243	1276
96	244	1268
97	246	1260
98	247	1252
99	248	1244
100	250	1236
101	251	1228
102	253	1221
103	254	1214
104	256	1210
105	258	1205
106	261	1205
107	263	1198
108	264	1191
109	265	1184
110	269	1186
111	272	1188
112	274	1182
113	276	1180
114	278	1175
115	280	1169
116	281	1163
117	283	1156
118	285	1154
119	289	1157
120	290	1151
121	292	1145
122	293	1138
123	294	1130
124	296	1126
125	298	1121
126	299	1114
127	300	1107
128	303	1108
129	304	1101
130	305	1094
131	306	1087
132	309	1088
133	312	1085
134	314	1082
135	315	1077
136	317	1073
137	319	1068
138	320	1064
139	322	1058
140	323	1053
141	325	1048
142	326	1044
143	328	1040
144	329	1035
145	331	1030
146	333	1026
147	334	1022
148	336	1018
149	338	1014
150	340	1012
151	342	1008
152	343	1003
153	345	999
154	346	994
155	348	991
156	350	988
157	351	984
158	353	980
159	354	976
160	356	972
161	358	968
162	359	963
163	361	959
164	363	957
165	364	952
166	367	953
167	370	951
168	371	948
169	373	944
170	374	940
171	376	936
172	377	932
173	379	929
174	381	926
175	382	922
176	384	918
177	385	915
178	387	911
179	389	907
180	390	903
181	392	900
182	398	908
183	399	904
184	401	900
185	402	896
186	404	892
187	405	888
188	408	887
189	410	884
190	411	881
191	413	878
192	414	874
193	416	870
194	417	867
195	419	864
196	420	860
197	422	857
198	424	854
199	425	851
200	427	848
201	428	844
202	430	841
203	431	837
204	450	868
205	458	876
206	461	876
207	464	875
208	467	874
209	468	870
210	474	874
211	513	940
212	515	936
213	517	932
214	518	928
215	520	925
216	523	923
217	525	920
218	526	916
219	528	912
220	529	908
221	531	904
222	532	901
223	534	897
224	542	904
225	544	900
226	546	898
227	548	894
228	550	891
229	552	888
230	556	888
231	564	894
232	565	891
233	571	893
234	573	891
235	575	887
236	577	883
237	578	879
238	580	876
239	581	872
240	584	869
241	585	866
242	586	862
243	588	858
244	590	856
245	592	852
246	595	850
247	597	847
248	599	844
249	601	842
250	603	838
251	605	836
252	607	833
253	609	829
254	610	825
255	611	821
256	613	819
257	615	816
258	618	814
259	620	811
260	626	814
261	628	810
262	631	808
263	633	806
264	637	805
265	639	802
266	641	799
267	643	797
268	645	794
269	648	792
270	654	795
271	656	791
272	657	787
273	659	784
274	660	780
275	662	777
276	664	774
277	665	771
278	667	767
279	668	764
280	670	760
281	671	757
282	673	753
283	675	751
284	677	749
285	679	746
286	682	744
287	684	741
288	685	737
289	687	734
290	689	731
291	690	728
292	692	725
293	693	722
294	695	718
295	697	716
296	698	713
297	700	709
298	702	706
299	703	703
300	704	700
301	706	696
302	707	693
303	709	690
304	710	687
305	711	683
306	712	680
307	714	677
308	715	673
309	717	670
310	719	668
311	721	666
312	722	662
313	724	659
314	725	656
315	727	653
316	728	650
317	732	649
318	733	646
319	734	643
320	736	640
321	737	637
322	739	634
323	740	631
324	742	628
325	744	625
326	745	622
327	746	619
328	748	616
329	749	613
330	751	610
331	753	608
332	754	605
333	757	603
334	759	600
335	760	597
336	762	595
337	764	592
338	766	590
339	770	589
340	774	588
341	775	585
342	777	582
343	779	579
344	780	576
345	782	574
346	783	571
347	785	568
348	787	566
349	789	563
350	790	560
351	791	557
352	793	554
353	794	552
354	796	549
355	798	547
356	799	544
357	800	541
358	803	539
359	804	536
360	806	533
361	807	531
362	809	528
363	810	525
364	812	522
365	813	520
366	815	517
367	816	514
368	818	512
369	819	509
370	821	507
371	822	504
372	824	501
373	825	499
374	827	496
375	832	496
376	834	493
377	835	490
378	837	488
379	838	485
380	840	483
381	841	480
382	843	477
383	844	475
384	845	472
385	848	470
386	849	467
387	852	465
388	853	462
389	855	460
390	856	457
391	858	455
392	859	452
393	860	449
394	861	447
395	863	445
396	865	442
397	867	440
398	868	437
399	870	435
400	871	432
401	872	429
402	874	427
403	875	424
404	877	422
405	878	419
406	880	417
407	881	414
408	884	413
409	887	411
410	889	408
411	890	406
412	892	403
413	893	401
414	894	398
415	896	396
416	900	395
417	902	392
418	903	390
419	904	387
420	906	385
421	908	383
422	910	380
423	911	378
424	914	376
425	915	374
426	917	371
427	918	369
428	924	368
429	934	369
430	936	367
431	939	365
432	941	363
433	943	360
434	945	358
435	951	357
436	953	355
437	956	353
438	958	351
439	959	349
440	961	346
441	963	344
442	964	341
443	966	339
444	967	337
445	969	334
446	971	332
447	972	330
448	974	327
449	976	325
450	978	323
451	979	320
452	980	318
453	982	315
454	984	313
455	985	311
456	987	308
457	988	306
458	990	304
459	997	303
460	1001	301
461	1003	299
462	1005	297
463	1007	295
464	1009	292
465	1010	290
466	1011	288
467	1022	288
468	1024	286
469	1026	283
470	1027	281
471	1029	279
472	1030	276
473	1032	274
474	1033	271
475	1035	269
476	1036	267
477	1038	265
478	1040	262
479	1041	260
480	1044	258
481	1045	255
482	1047	253
483	1051	252
484	1054	250
485	1056	247
486	1057	245
487	1059	243
488	1062	241
489	1064	238
490	1066	236
491	1067	234
492	1069	232
493	1070	229
494	1072	227
495	1074	225
496	1076	223
497	1077	220
498	1079	218
499	1081	216
500	1082	213
501	1084	211
502	1088	209
503	1090	207
504	1091	205
505	1093	203
506	1095	200
507	1096	198
508	1098	196
509	1099	194
510	1101	191
511	1102	189
512	1104	187
513	1105	184
514	1106	182
515	1108	180
516	1110	178
517	1111	175
518	1113	173
519	1114	171
520	1117	169
521	1120	167
522	1121	165
523	1123	162
524	1125	160
525	1126	158
526	1128	156
527	1129	154
528	1131	151
529	1133	149
530	1134	147
531	1136	145
532	1138	143
533	1140	140
534	1141	138
535	1143	136
536	1144	134
537	1146	132
538	1147	129
539	1149	127
540	1150	125
541	1153	123
542	1155	121
543	1157	119
544	1158	116
545	1160	114
546	1161	112
547	1164	110
548	1165	108
549	1167	106
550	1168	103
551	1171	101
552	1172	99
553	1174	97
554	1175	95
555	1177	93
556	1178	91
557	1180	88
558	1182	86
559	1183	84
560	1185	82
561	1187	80
562	1188	78
563	1190	75
564	1192	73
565	1193	71
566	1194	69
567	1195	67
568	1196	65
569	1204	63
570	1205	61
571	1207	59
572	1208	56
573	1210	54
574	1211	52
575	1213	50
576	1214	48
577	1216	46
578	1217	44
579	1219	42
580	1221	39
581	1222	37
582	1224	35
583	1225	33
584	1226	31
585	1227	29
586	1231	27
587	1233	25
588	1234	23
589	1236	20
590	1237	18
591	1239	16
592	1240	14
593	1242	12
594	1243	10
595	1245	8
596	1247	6
597	1249	4
598	1250	2
599	1252	0
