iter	Passed	Remaining
0	2	944
1	4	821
2	6	904
3	9	922
4	10	860
5	12	844
6	14	806
7	15	762
8	17	769
9	18	731
10	19	703
11	21	710
12	23	688
13	24	669
14	25	656
15	26	642
16	28	633
17	29	622
18	30	611
19	31	604
20	32	595
21	34	586
22	35	586
23	37	590
24	39	588
25	41	591
26	42	587
27	43	583
28	45	576
29	46	573
30	48	574
31	49	573
32	51	569
33	52	565
34	53	558
35	54	551
36	55	545
37	56	538
38	57	532
39	58	529
40	60	525
41	61	522
42	62	520
43	63	517
44	65	513
45	66	508
46	67	505
47	68	502
48	69	498
49	70	493
50	71	489
51	72	487
52	74	485
53	75	483
54	76	480
55	77	477
56	78	475
57	80	472
58	81	470
59	82	469
60	84	467
61	85	466
62	86	464
63	88	462
64	89	460
65	90	459
66	92	458
67	94	460
68	95	459
69	97	459
70	98	458
71	100	458
72	102	459
73	104	458
74	106	459
75	107	458
76	109	457
77	110	456
78	112	455
79	113	454
80	115	453
81	116	452
82	125	480
83	127	479
84	129	479
85	130	478
86	132	477
87	134	475
88	135	474
89	137	472
90	138	471
91	140	469
92	142	469
93	143	468
94	145	467
95	147	466
96	148	464
97	149	461
98	150	458
99	152	456
100	153	454
101	154	451
102	156	449
103	157	447
104	158	445
105	159	442
106	161	441
107	162	438
108	163	436
109	164	434
110	169	440
111	170	438
112	175	445
113	177	445
114	179	444
115	180	442
116	182	441
117	183	438
118	184	435
119	185	432
120	186	430
121	187	427
122	188	424
123	189	422
124	190	419
125	191	416
126	193	415
127	194	412
128	195	410
129	196	408
130	197	405
131	198	403
132	199	401
133	201	399
134	202	397
135	203	395
136	205	393
137	206	391
138	207	388
139	208	386
140	209	384
141	210	382
142	211	380
143	213	379
144	214	377
145	216	376
146	218	375
147	219	374
148	223	377
149	225	375
150	226	373
151	227	371
152	230	372
153	232	371
154	234	370
155	236	369
156	238	368
157	239	367
158	241	365
159	243	365
160	244	363
161	246	361
162	247	359
163	248	357
164	249	355
165	250	353
166	252	352
167	253	350
168	254	348
169	255	346
170	256	344
171	258	342
172	259	340
173	261	339
174	262	338
175	264	336
176	268	337
177	270	336
178	271	335
179	273	334
180	274	332
181	275	330
182	277	328
183	278	327
184	280	325
185	282	324
186	284	323
187	285	322
188	287	320
189	288	319
190	289	317
191	291	315
192	292	313
193	293	311
194	294	309
195	295	307
196	296	305
197	297	303
198	298	301
199	299	299
200	301	298
201	302	296
202	303	294
203	304	292
204	305	290
205	307	289
206	308	287
207	310	286
208	311	284
209	312	282
210	313	280
211	314	279
212	315	277
213	316	275
214	318	273
215	319	272
216	320	270
217	321	268
218	322	266
219	323	265
220	325	263
221	326	261
222	328	261
223	330	259
224	332	258
225	333	256
226	334	255
227	336	253
228	337	251
229	338	249
230	339	248
231	340	246
232	341	244
233	342	242
234	343	241
235	344	239
236	345	237
237	347	236
238	348	234
239	349	232
240	350	231
241	351	229
242	352	228
243	354	226
244	356	225
245	357	223
246	358	222
247	361	221
248	362	219
249	363	217
250	364	216
251	367	215
252	369	214
253	370	213
254	372	211
255	375	211
256	376	209
257	378	208
258	381	207
259	382	205
260	383	204
261	384	202
262	386	201
263	387	199
264	388	197
265	389	196
266	390	194
267	392	193
268	393	191
269	394	189
270	395	188
271	396	186
272	397	184
273	398	183
274	400	181
275	401	180
276	402	178
277	403	177
278	405	175
279	405	173
280	407	172
281	408	170
282	409	169
283	410	167
284	411	165
285	412	164
286	416	163
287	418	162
288	419	161
289	420	159
290	422	158
291	423	156
292	424	155
293	425	153
294	426	151
295	428	150
296	429	148
297	430	147
298	431	145
299	432	144
300	433	142
301	435	141
302	436	139
303	437	138
304	438	136
305	439	135
306	440	133
307	441	132
308	443	130
309	444	128
310	445	127
311	446	126
312	447	124
313	448	122
314	449	121
315	451	119
316	452	118
317	453	116
318	454	115
319	455	113
320	457	112
321	458	110
322	459	109
323	460	108
324	461	106
325	463	105
326	464	103
327	465	102
328	466	100
329	467	99
330	469	97
331	470	96
332	471	94
333	472	93
334	473	91
335	475	90
336	476	89
337	477	87
338	478	86
339	479	84
340	480	83
341	482	81
342	483	80
343	484	78
344	485	77
345	486	75
346	487	74
347	489	73
348	490	71
349	491	70
350	492	68
351	494	67
352	495	65
353	496	64
354	497	63
355	498	61
356	499	60
357	500	58
358	501	57
359	502	55
360	503	54
361	505	53
362	506	51
363	507	50
364	508	48
365	509	47
366	510	45
367	511	44
368	512	43
369	514	41
370	515	40
371	516	38
372	517	37
373	519	36
374	520	34
375	521	33
376	522	31
377	523	30
378	524	29
379	525	27
380	527	26
381	528	24
382	530	23
383	531	22
384	532	20
385	533	19
386	534	17
387	536	16
388	537	15
389	538	13
390	539	12
391	540	11
392	542	9
393	543	8
394	544	6
395	545	5
396	546	4
397	548	2
398	549	1
399	551	0
